LbCas12a_mod_donor_SIKI_2_4,etv2/bc1004--bc1026.fastq.gz
LbCas12a_mod_donor_SIKI_1_4,etv2/bc1004--bc1025.fastq.gz
LbCas12a_unigRNA_donor_SIKI_3_3,etv2/bc1003--bc1027.fastq.gz
LbCas12a_unigRNA_donor_SIKI_2_3,etv2/bc1003--bc1026.fastq.gz
LbCas12a_unigRNA_donor_SIKI_1_3,etv2/bc1003--bc1025.fastq.gz
LbCas12a_ISce1_donor_SIKI_3_2,etv2/bc1002--bc1027.fastq.gz
LbCas12a_ISce1_donor_SIKI_2_2,etv2/bc1002--bc1026.fastq.gz
LbCas12a_ISce1_donor_SIKI_1_2,etv2/bc1002--bc1025.fastq.gz
LbCas12a_no_donor_SIKI_3_1,etv2/bc1001--bc1027.fastq.gz
LbCas12a_no_donor_SIKI_2_1,etv2/bc1001--bc1026.fastq.gz
LbCas12a_no_donor_SIKI_1_1,etv2/bc1001--bc1025.fastq.gz
uninjected_SIKI_1_9,ep300b/bc1009--bc1025.fastq.gz
Cas9_mod_donor_SIKI_3_8,ep300b/bc1008--bc1027.fastq.gz
Cas9_mod_donor_SIKI_2_8,ep300b/bc1008--bc1026.fastq.gz
Cas9_mod_donor_SIKI_1_8,ep300b/bc1008--bc1025.fastq.gz
Cas9_unigRNA_donor_SIKI_3_7,ep300b/bc1007--bc1027.fastq.gz
Cas9_unigRNA_donor_SIKI_2_7,ep300b/bc1007--bc1026.fastq.gz
Cas9_unigRNA_donor_SIKI_1_7,ep300b/bc1007--bc1025.fastq.gz
Cas9_ISce1_donor_SIKI_3_6,ep300b/bc1006--bc1027.fastq.gz
Cas9_ISce1_donor_SIKI_2_6,ep300b/bc1006--bc1026.fastq.gz
Cas9_ISce1_donor_SIKI_1_6,ep300b/bc1006--bc1025.fastq.gz
Cas9_no_donor_SIKI_3_5,ep300b/bc1005--bc1027.fastq.gz
Cas9_no_donor_SIKI_2_5,ep300b/bc1005--bc1026.fastq.gz
Cas9_no_donor_SIKI_1_5,ep300b/bc1005--bc1025.fastq.gz
LbCas12a_mod_donor_SIKI_3_4,ep300b/bc1004--bc1027.fastq.gz
LbCas12a_mod_donor_SIKI_2_4,ep300b/bc1004--bc1026.fastq.gz
LbCas12a_mod_donor_SIKI_1_4,ep300b/bc1004--bc1025.fastq.gz
LbCas12a_unigRNA_donor_SIKI_3_3,ep300b/bc1003--bc1027.fastq.gz
LbCas12a_unigRNA_donor_SIKI_2_3,ep300b/bc1003--bc1026.fastq.gz
LbCas12a_unigRNA_donor_SIKI_1_3,ep300b/bc1003--bc1025.fastq.gz
LbCas12a_ISce1_donor_SIKI_3_2,ep300b/bc1002--bc1027.fastq.gz
LbCas12a_ISce1_donor_SIKI_2_2,ep300b/bc1002--bc1026.fastq.gz
LbCas12a_ISce1_donor_SIKI_1_2,ep300b/bc1002--bc1025.fastq.gz
LbCas12a_no_donor_SIKI_3_1,ep300b/bc1001--bc1027.fastq.gz
LbCas12a_no_donor_SIKI_2_1,ep300b/bc1001--bc1026.fastq.gz
LbCas12a_no_donor_SIKI_1_1,ep300b/bc1001--bc1025.fastq.gz
uninjected_SIKI_1_9,ep300a/bc1009--bc1025.fastq.gz
Cas9_mod_donor_SIKI_3_8,ep300a/bc1008--bc1027.fastq.gz
Cas9_mod_donor_SIKI_2_8,ep300a/bc1008--bc1026.fastq.gz
Cas9_mod_donor_SIKI_1_8,ep300a/bc1008--bc1025.fastq.gz
Cas9_unigRNA_donor_SIKI_3_7,ep300a/bc1007--bc1027.fastq.gz
Cas9_unigRNA_donor_SIKI_2_7,ep300a/bc1007--bc1026.fastq.gz
Cas9_unigRNA_donor_SIKI_1_7,ep300a/bc1007--bc1025.fastq.gz
Cas9_ISce1_donor_SIKI_3_6,ep300a/bc1006--bc1027.fastq.gz
Cas9_ISce1_donor_SIKI_2_6,ep300a/bc1006--bc1026.fastq.gz
